Number xind yind east north data err wgt Elos Nlos Ulos
 231  898  535 129.062541967165 41.325163266370 -1.039442 0.37998  54782 0.55445 0.10294 -0.82582
 232  770  214 129.053653078205 41.347454933215 -0.555203 0.37440 138808 0.55405 0.10289 -0.82610
 233  257 1069 129.018028077920 41.288079932740 0.625903 0.33124 126149 0.55012 0.10249 -0.82877
 234  306 1482 129.021430855725 41.259399376955 0.736876 0.40122  73957 0.54977 0.10244 -0.82901
 235  578 1336 129.040319744765 41.269538265925 1.543822 0.20416  13803 0.55170 0.10266 -0.82770
 236  546 1416 129.038097522525 41.263982710325 2.344379 0.21773   3510 0.55140 0.10263 -0.82790
 237  546 1470 129.038097522525 41.260232710295 2.313430 0.28144   3445 0.55131 0.10262 -0.82797
 238  594 1457 129.041430855885 41.261135488080 1.444040 0.27482    836 0.55162 0.10265 -0.82775
 239  594 1483 129.041430855885 41.259329932510 0.851724 0.26755    832 0.55155 0.10264 -0.82780
 240  626 1483 129.043653078125 41.259329932510 0.280928 0.38905    714 0.55170 0.10266 -0.82770
 241  618 1450 129.043097522565 41.261621599195 -0.119765 0.45813    186 0.55176 0.10267 -0.82766
 242  614 1461 129.042819744785 41.260857710300 0.334133 0.31656     53 0.55171 0.10266 -0.82769
 243  634 1464 129.044208633685 41.260649376965 -0.126394 0.46619    196 0.55179 0.10267 -0.82764
 244  634 1450 129.044208633685 41.261621599195 -0.148067 0.49765    224 0.55182 0.10267 -0.82762
 245  610 1416 129.042541967005 41.263982710325 1.757909 0.42394   3320 0.55178 0.10267 -0.82765
 246  706 1443 129.049208633725 41.262107710310 0.507298 0.40464  13032 0.55215 0.10270 -0.82740
 247  706 1336 129.049208633725 41.269538265925 1.686641 0.41289  13596 0.55246 0.10274 -0.82718
 248  578 1550 129.040319744765 41.254677154695 1.130391 0.39469  13485 0.55127 0.10260 -0.82799
 249  577 1647 129.040250300320 41.247941043530 0.727703 0.42861   5442 0.55096 0.10256 -0.82821
 250  700 1630 129.048791967055 41.249121599095 0.078493 0.25501   3244 0.55173 0.10264 -0.82768
 251  706 1552 129.049208633725 41.254538265805 -0.293199 0.40644  12974 0.55197 0.10268 -0.82752
 252  898 1602 129.062541967165 41.251066043555 -1.306471 0.47608  26585 0.55277 0.10274 -0.82698
 253  898 1389 129.062541967165 41.265857710340 0.220964 0.40764  54477 0.55329 0.10282 -0.82662
 254  642  962 129.044764189245 41.295510488355 0.140636 0.33387  54805 0.55256 0.10275 -0.82711
 255  642 1176 129.044764189245 41.280649377125 0.534196 0.27820  54711 0.55225 0.10272 -0.82732
 256  834 1123 129.058097522685 41.284329932710 -0.410540 0.31893  13326 0.55341 0.10284 -0.82653
 257  834 1229 129.058097522685 41.276968821540 0.821112 0.19036  13568 0.55333 0.10284 -0.82659
 258  930 1203 129.064764189405 41.278774377110 0.053993 0.44410   3392 0.55387 0.10289 -0.82622
 259  930 1256 129.064764189405 41.275093821525 0.301461 0.21846   3392 0.55379 0.10288 -0.82628
 260  994 1256 129.069208633885 41.275093821525 -0.024487 0.34020   3383 0.55409 0.10290 -0.82607
 261  970 1183 129.067541967205 41.280163266010 1.580913 0.21546    224 0.55409 0.10291 -0.82607
 262  970 1197 129.067541967205 41.279191043780 1.978846 0.17574    157 0.55406 0.10290 -0.82609
 263  986 1197 129.068653078325 41.279191043780 2.168714 0.25299    204 0.55413 0.10291 -0.82604
 264  986 1183 129.068653078325 41.280163266010 1.300876 0.18751    224 0.55416 0.10291 -0.82602
 265  978 1219 129.068097522765 41.277663265990 0.871459 0.42963    652 0.55406 0.10290 -0.82609
 266 1010 1216 129.070319745005 41.277871599325 0.588519 0.40135    832 0.55422 0.10292 -0.82599
 267 1002 1183 129.069764189445 41.280163266010 1.293015 0.28238    224 0.55423 0.10292 -0.82597
